Month,Day ,Year,Value
4,7,1888,-26.6042348103859
5,1,1923,-60.1611121224667
2,28,1878,-4.31225092507824
6,13,1901,-205.513996274184
6,9,1820,-18.0113519845598
5,6,1906,-136.013003027609
11,24,1975,-87.0391620141866
7,18,1998,75.0082949495892
4,21,1846,-92.934653618486
11,7,2017,-147.588169315161
2,22,1854,35.264423677382
7,13,1934,-135.995618714097
4,3,1915,46.3452932648375
6,10,1944,-12.9318961142195
3,25,1947,-2.52397924962348
7,10,1905,55.9802318491611
5,4,1930,108.57928807594
3,5,1971,122.483137322895
8,20,1852,-5.71997347349648
5,20,1829,-1.24716849588573
9,2,1910,-178.153088788593
11,26,1885,166.575873822906
9,19,1964,347.880247684741
7,4,1948,37.6432452561073
11,27,1917,158.860242151739
2,2,1988,92.6251993952048
8,24,1800,16.1513314578204
7,15,1802,-5.95759157068028
6,10,1845,-242.854261958465
12,18,2014,-29.5107649946225
1,6,1965,-42.4583420597798
9,7,1808,61.8989510257888
11,11,1887,-96.9026280879331
9,21,1883,-31.7002425616315
11,9,1831,178.313071158567
3,13,1844,-161.57436447879
4,16,1910,-62.4465326716204
3,25,2016,60.7214664497809
11,13,1995,98.5425755095807
7,9,1984,55.8379154103523
4,19,1832,-110.932770243163
6,14,1902,100.702074431372
2,6,1989,74.1930043287148
12,15,1821,-117.824821318856
10,5,1998,-144.499269263743
4,1,1871,66.253446608798
1,11,1811,43.2849886257425
2,15,1907,-148.894603353292
7,15,1947,100.410209973253
2,5,1866,108.570003803208
3,23,1976,-118.05340245164
6,10,1875,41.9278460227413
5,16,1841,47.2966125524166
8,28,1895,-58.7977233457661
12,17,1900,55.6501813268053
11,10,1808,-37.6045416614928
9,2,2004,-10.8619095187757
9,12,1901,-78.2433369252369
3,20,1823,-84.0411110760597
11,5,1925,-112.090174030502
6,6,2001,40.705701949325
11,10,1965,21.5522059826064
2,23,1991,8.51842612673115
5,7,1802,-24.092493076824
1,11,1929,35.042104732832
9,16,1826,-87.8398857303408
2,2,1994,-165.894407146775
4,11,1857,-81.3768568547129
10,1,1888,65.4618903038067
1,17,1828,-32.5903085081447
6,18,1840,32.7884134992192
11,23,1861,-134.450722543489
9,22,1889,-108.129772692579
4,7,1875,-20.6591088273873
10,24,1890,-23.2257747315319
9,12,1813,-41.8064573365972
11,27,1952,60.5412503352697
8,9,1833,-138.400827881513
4,2,1961,-87.653163516204
3,10,1853,-44.0336603026172
3,24,1878,137.881263487317
8,21,1805,-33.2070896591296
3,28,2000,70.6197747580617
10,9,1909,1.72954199266496
7,22,1853,118.771575573274
7,4,1953,-115.123571336733
7,15,1925,-2.18780405927885
9,4,1913,-85.1004622730143
8,22,1874,100.050396465477
8,25,1924,21.6539502810786
6,9,2018,-3.81569365502258
6,13,1819,97.4202832821271
2,14,1858,206.199736143321
9,2,1815,-5.38708295009608
7,26,1896,50.5780257683249
10,26,1859,318.206810027961
10,17,1904,-58.6351831074318
6,6,1946,15.7744046895867
8,21,1881,70.5994381558488
2,10,1827,2.255255301668
3,14,1942,96.1777427440206
3,28,1866,89.8753752207137
1,7,1891,-46.1779129874683
10,14,1961,36.4937230751343
3,14,1864,121.124790506455
1,23,2013,-47.3045280521578
6,10,1883,8.54386561434903
1,15,1838,-4.01130938393768
1,27,1855,-13.9753245313853
8,9,2019,-173.145507572959
5,26,1905,-96.3491107203696
10,22,1847,-151.594467847396
9,15,1855,103.573713199393
3,11,1979,-29.3326641213672
1,14,2018,-101.174464505609
5,12,1920,65.0423421133131
5,4,1970,168.047480400066
11,28,1830,-81.6897043903666
8,11,1961,-91.50946350498
5,28,1877,209.380169753462
1,1,1957,-113.640208482605
12,5,2001,17.7687229674116
1,3,1975,45.9528965232756
7,28,1998,-1.98544831180705
11,14,1991,-4.77695607291638
3,6,1923,76.5458456553896
1,20,1807,-172.913601148229
4,13,1992,-128.920170185327
9,28,1804,-44.8119471470803
7,9,1809,-122.404135439949
5,28,1812,81.1559975130902
12,28,1847,-156.105456378454
1,15,1847,-8.53999945249794
1,3,1968,-21.016632260689
11,8,2001,-177.465415962042
11,5,1806,22.0342203680244
6,14,1923,150.922855856499
9,3,1816,-14.8481708377747
10,25,1947,66.5734025227572
2,27,1956,-16.2096710737323
11,13,1951,128.435197139189
4,22,1993,-105.096838108825
2,24,1987,236.710897505818
10,21,1848,-67.6535519047727
9,18,1805,4.25032365348449
12,16,1841,41.1130805185273
5,14,1828,-60.4605926394063
10,25,1868,108.082265961822
12,4,1868,7.65138869782807
2,19,1898,-55.1389337306458
2,16,1916,89.3517627831335
3,19,1953,23.7565037290566
6,8,1824,-44.4829347506789
5,3,1809,89.7928112153641
10,7,1861,207.054864687852
4,13,1923,-54.8333867203034
1,25,2010,116.508535354235
12,7,1828,-46.3825387890688
11,25,1858,-65.0540964246109
5,11,1891,133.779842819738
9,25,1883,156.741058980951
10,2,1925,-108.990766756701
6,6,1870,-32.8037251408561
2,9,1840,-0.096250236915418
5,26,1943,46.5207687619083
6,24,1880,8.43952884359491
9,25,1984,13.7067190228523
4,14,1870,-186.807218086158
7,7,1994,144.885153869999
12,8,2019,38.4385958044107
8,27,1901,-39.4354075873682
11,3,1898,33.8490926130113
1,25,1853,69.3595184299386
1,19,1966,-20.2920950701598
2,24,1903,109.525263465066
5,9,1821,-121.377651482236
7,25,1991,126.641553210379
11,15,1942,44.195882834614
11,14,2006,-48.6358392088967
7,21,1855,172.467792522405
9,14,1939,53.6285306291863
5,1,1857,-5.56413560363389
7,12,1834,-66.0746816156061
2,14,2013,105.353549616058
2,23,1845,-191.569140057175
2,28,1946,157.330616040245
10,9,1943,-26.9737441405598
6,22,1966,-34.8389709572691
3,28,1904,-43.0576347203653
6,13,1953,-29.4472723373447
3,24,2016,80.1576845528735
9,27,1856,73.2086607551154
7,20,1924,67.784717130199
10,25,1819,-50.3679668160808
12,27,2009,22.2260463774626
2,13,1915,163.775723995578
2,6,1857,-78.8834340235554
2,3,1879,-15.3257673555838
5,22,1993,72.1319427183316
8,6,1834,56.5218538615202
10,18,1925,-92.0522625264498
10,4,1999,243.725522227871
5,8,2004,75.1697769681061
9,22,1887,-93.2742023785749
5,20,1862,62.173163989494
12,28,1805,-141.779921486658
9,14,1809,-262.627212973714
2,11,1803,-41.7917896455315
11,26,1914,125.169803783429
12,10,1991,234.379368968847
7,3,1906,14.2214627331799
10,8,1935,60.1120275146135
6,4,1949,45.5028892538789
10,26,1995,104.584080054551
11,13,1820,91.2462862645531
7,11,1922,90.1036338280341
2,1,1946,128.009947716538
11,27,1932,-18.7600788508432
2,27,2016,196.462452319009
10,26,2008,-18.559430403849
6,5,1999,4.32487388492448
9,13,2008,-159.483179276474
5,23,1964,-23.0720049607764
7,15,1845,2.38270611029134
11,25,1913,124.590330505826
8,19,1915,-123.944045727138
9,3,1843,-69.5410296351642
10,2,1935,-22.8745068389978
1,21,1983,5.96513692794608
5,22,1830,-35.9721551241402
2,4,2013,-169.754844405192
4,22,1818,31.1073408347273
12,12,2017,20.4773324779084
5,4,1953,-126.670591005526
6,22,1923,138.724678628938
4,18,1862,80.6751607032826
3,4,1983,-208.214400760035
2,5,2002,-72.1006610338309
10,5,1920,-70.9980609793675
5,24,1862,-106.888386779786
9,5,1829,-21.4117793737184
2,25,1923,-81.5190600586435
8,20,2020,51.643339911649
2,20,1823,-91.5528685881599
11,19,1954,-13.2019655549159
11,16,1961,-161.243144930221
4,9,1957,4.40276194334949
9,14,2011,24.0681771773022
7,1,1877,314.066486296022
4,28,1989,34.2223634361265
1,15,1911,87.1139430499359
10,26,2002,-82.5179861358457
9,3,1891,83.9338327307558
2,5,1895,-83.4768627271432
9,21,2015,-41.5369171368364
7,18,1875,-129.066980043817
2,16,1866,-53.6459493254375
10,9,1868,-62.3336308510408
11,13,1859,-164.418771057685
9,7,1909,-2.49843185307045
9,26,2010,-95.7040106863866
2,14,1856,-101.400591631432
2,3,1869,16.9996136351385
2,22,1876,-3.62896708703845
6,22,1844,254.551673770862
9,7,1927,-17.8370710286656
7,15,2012,50.3374924686741
1,26,1874,67.5977585086428
1,8,1879,-202.405578531655
11,3,1892,86.6327940035035
5,21,1904,81.4359770244451
10,15,1969,-46.2243891012811
8,5,1867,-148.812689523248
1,18,1946,119.345431842345
10,14,1963,29.7003128394266
3,12,1978,-49.3934204377999
9,1,1957,57.1079164103022
4,20,1985,-3.67136767013168
1,23,1939,-138.850884136801
7,12,1866,69.5369101185728
12,10,2009,-27.7401768766488
3,7,1832,-37.9356304161054
5,13,1949,20.2128376048951
9,5,1875,-158.266674227977
11,8,1907,65.9001961064281
10,21,1808,-106.707535379388
4,22,1839,-124.152900641516
2,14,1832,-115.279031463292
2,2,1815,-176.449465586691
12,17,1940,-110.784986682704
7,13,1938,25.0316972637742
5,7,2012,-53.1015968615117
5,25,1849,-41.0915774073671
6,14,2000,2.41021905105763
7,17,1909,-45.8464251736848
6,19,1867,-43.9077637588764
7,11,1831,170.098232932872
9,12,1836,47.8081602948038
10,22,1856,0.170815553722567
8,6,1812,-46.8467097298097
11,2,1913,8.4646805833807
10,19,1884,53.8530260361523
12,20,1940,183.059214126046
1,10,1822,-12.8719405347936
2,10,2014,-86.2789677970672
12,8,1823,-20.4222685666169
10,5,1977,-27.9643565039617
9,25,1971,-125.137881247701
8,19,1955,163.704628368119
5,13,1951,-30.638606298552
4,12,1917,230.12495661415
1,1,1903,-49.9907556794739
7,14,1862,-76.9289979577765
7,4,1963,106.594051054544
2,2,1960,-52.6341915771114
9,6,1964,-65.4478549954012
4,10,1935,-198.95633281299
2,6,1966,-3.47095558269192
1,20,1916,-22.9462294350056
5,28,1841,72.7160383731482
9,11,1940,-100.747305744532
1,6,1927,83.3655711496495
11,27,1806,41.3143162566395
8,15,1851,-65.2461962508349
3,9,1980,83.1122466868994
7,2,1861,-189.532341497267
2,12,1968,9.90042045345648
7,13,1904,-19.291134276105
12,8,1916,-62.7179266067131
8,28,1920,174.806305630358
1,18,1993,-11.005899073748
1,5,1913,-2.93779428461749
1,3,1899,226.401667618365
3,3,1905,9.68757422422229
11,26,1873,-96.5219033546386
7,16,1909,74.2016017220428
4,27,1855,-32.56630802315
2,23,1994,43.0416263102894
6,10,1897,8.05692064529509
8,26,1990,30.3135704945827
10,3,1887,-57.4337030199035
7,25,2005,266.776133030643
8,12,2013,-38.6376443964016
12,9,1944,-13.0849667815125
12,20,1848,95.3069061075761
2,22,1962,-125.664953253067
9,22,1901,0.728230667361532
9,1,1951,-52.332593306339
2,19,1838,-106.922555032037
1,14,1974,148.354994190419
12,10,1867,-75.9960312068277
10,16,1844,-82.4881918238171
6,25,1838,208.255539930996
3,13,1882,125.661790028008
9,28,1875,-145.775958513521
7,4,1820,-42.6946447347418
5,12,1871,-0.011401432073931
6,13,1869,23.3343825724614
8,16,1822,177.200145163064
5,15,1815,-55.2755778809353
5,15,1803,-30.5412750791903
4,6,1940,75.0392676923458
3,18,1829,-213.488013202946
4,19,1956,-7.58861741502624
1,23,1852,-50.061220390675
9,11,1899,-120.409761477144
11,19,2006,22.422936549535
6,23,1857,-18.6950024714297
10,10,2007,-258.383509260041
9,28,1841,-61.4201553924946
6,13,1823,63.902746592242
8,11,1997,-74.8813849580243
1,1,1856,94.5589304420379
2,22,1852,117.04207038376
10,14,1853,86.6149910643252
4,15,1839,76.5616042620652
1,19,1802,-13.4832207993584
5,6,1989,-45.9491515463909
11,13,1882,154.940635733545
4,16,1940,-121.67060882821
3,1,1854,62.8400566390592
3,23,1955,-37.6434647648282
1,6,2014,14.6788215045081
2,14,1910,-35.790720686975
3,16,1911,10.3028244691233
10,2,1856,-59.1815691321752
6,25,1900,-115.36379667269
10,19,1864,-57.6421606640237
8,23,1898,-49.9482390356953
9,7,1923,-92.7429590193337
12,4,1825,-9.07740776185339
5,3,2008,65.9558905118206
12,20,1911,-171.698679643668
6,13,1852,-83.9885275569898
8,7,2002,22.1060092053448
2,15,1958,2.40471371696718
9,6,1889,76.4315013872914
9,13,1999,-64.5524612604333
10,19,1801,195.554526236502
5,2,1997,228.392204682766
5,1,2004,173.529279841756
3,2,1808,-30.6864486269673
1,14,1925,137.985568271909
10,20,1870,5.65576519578395
6,2,1860,148.387308024092
6,5,1878,-84.5857621844072
5,15,1961,67.2280736750423
6,21,1871,-159.100096017499
6,8,1879,-147.01719995083
6,14,1899,-15.9651074081817
7,12,1864,-159.527318563765
4,15,1865,153.696592555381
5,25,1986,159.0137024206
9,25,1873,-61.5975265318386
1,21,1816,218.95775362124
5,21,1969,-223.089345986621
5,19,1905,16.8600034557086
6,19,1931,76.6139055158478
2,26,1950,44.4551724320417
4,13,1908,25.3893368682223
9,11,1883,99.5487623617221
3,27,1954,-126.136284679354
4,7,1968,215.905723794108
3,2,1913,81.8094407602617
8,25,1945,-378.243813044343
2,16,1800,-75.6218165641426
7,12,1946,41.1922319583572
6,16,1973,74.419758550348
2,1,1975,83.5970756431235
4,14,1825,117.707870453301
10,23,1801,-94.2389777365696
6,24,1834,-149.469128593805
11,2,1945,-3.63853684254431
8,28,1984,78.3129812946314
11,28,1848,-130.255808201499
10,22,1991,-36.1305859809322
9,26,1867,29.7734891903555
3,20,1809,30.2344213797037
6,27,1920,-111.103386849433
8,11,1831,70.361117477173
2,10,1931,145.835158373501
7,3,1924,-28.7683643868517
9,4,1898,45.1407072406129
11,3,1903,-68.3151465659099
12,3,1996,-118.986697582583
8,15,2010,-14.9289986248327
6,11,1841,46.769206133195
6,7,1984,-111.853790404194
1,2,1854,30.1654644101116
3,26,1873,66.9191105288109
11,11,1990,49.6509750440004
8,15,2008,100.832788452443
9,10,1837,-67.539260817779
4,11,1826,62.1242108443736
10,22,1839,9.07990482847333
7,6,1843,6.20703571086755
1,20,1971,112.514694370377
10,19,1814,-32.7611566521872
2,20,1976,43.4672707057655
5,3,1949,105.431573462599
7,4,1947,127.809061648445
2,12,1934,-125.63033392353
12,7,1917,-16.6118203877084
11,9,1872,6.65855079867791
10,20,1876,43.7101043718538
10,26,1972,-51.398002748609
5,18,1898,-87.7188861822482
5,23,1987,-11.8541323609963
6,2,1830,108.433578470022
10,21,1870,-134.218635892128
9,11,1899,-75.897228977241
4,2,1889,48.8091113934346
4,13,1882,51.3375803076939
6,27,1940,48.6915516441924
2,2,1832,-53.4503414635612
8,5,1862,134.255564573192
12,9,2009,50.5595193205058
2,19,1821,86.8342554863225
5,18,1828,89.4570780753433
10,27,1863,187.359035962846
3,6,1938,75.5000929541326
6,6,1901,24.6350898559899
3,18,1933,-47.6453325836313
12,3,1881,115.541728766066
3,25,1836,-319.891276531079
4,9,1837,-234.053589572488
9,3,1852,140.860739975043
4,9,1826,44.7487007251196
7,19,1912,-119.75374639368
10,9,1943,-133.560940441985
12,14,1840,47.9072638205381
4,4,1978,133.896815892545
6,24,1868,-130.638337502398
10,6,1977,38.7327605910704
10,10,1867,-229.035078309946
8,18,1946,-117.27853148467
2,4,1983,86.1085680315618
5,18,1909,146.020719989289
1,21,1994,137.583573121892
11,12,1928,-17.7099549918964
7,26,1928,-9.03665204992869
7,17,1832,-4.72011316376202
11,21,1819,-194.276661370215
7,12,1958,113.010555442706
7,14,1951,86.8928344672031
1,2,2000,215.909542761335
4,7,1832,-143.021690709482
8,8,1880,-53.9786181047213
4,23,1997,133.86088749963
5,5,1884,88.4846260767989
10,26,1908,56.6811289970591
7,12,1960,-10.6554073443793
2,21,1925,1.39867991923224
3,22,1873,-118.555138604664
5,25,1975,62.9593422019856
9,13,1912,-18.7359292283626
3,9,1838,155.34425591009
7,11,1916,23.2039630664347
9,5,1970,-115.712363120549
10,14,2002,-93.9407464856403
4,18,1859,112.674032549379
4,6,1905,127.834891694006
10,17,1979,24.0380808409946
7,22,1954,-135.42034926605
1,21,2004,-34.4869370411789
1,7,1905,-31.8802442419183
10,21,2011,-29.9290945123443
5,3,1852,182.216134998755
5,23,1949,-1.48647555278741
4,18,1911,212.383433135988
4,1,1813,-125.912842684917
6,6,1904,46.5074348840927
11,21,1927,196.425332026661
5,9,1939,56.5540236176977
9,14,1901,-257.576057517598
10,6,1917,-144.060116705236
8,17,1909,-88.4278530082047
4,23,1953,-158.262409501677
4,6,1995,111.143752891746
6,12,1918,92.6517891835433
10,4,1970,-161.333230806604
11,17,1864,109.44846579702
2,6,1963,109.323199825131
6,5,1843,-156.008843191936
2,12,1890,124.562139862002
4,24,1859,-116.206026060187
7,4,1988,-40.6010372491662
11,14,1824,72.8647552404722
9,27,1851,-32.6773910836738
11,3,1868,-46.1299691980498
4,23,1833,-101.136894820367
8,10,1839,-28.1631068224681
6,2,1875,-19.9738601595688
12,17,1949,-172.368120352944
2,8,2018,-1.48649742807238
4,22,1987,142.018209352379
12,13,1865,27.8978985800545
1,27,2007,-91.026559774893
12,8,1943,85.0459636392666
1,26,1959,-65.6288530229652
10,6,1929,-69.7438671565629
7,8,1939,49.2032123574704
11,4,2002,25.2161794414249
5,12,1912,-9.31504687045943
12,13,1924,2.35798200226496
10,11,1881,27.4942464680325
7,22,1926,140.26376352665
2,28,1951,-22.0909933779998
11,20,1924,9.72829054212518
7,17,1996,15.0937695659497
8,18,1835,105.064319312863
6,28,1831,-0.066575903457529
11,10,1994,-59.2836501946828
10,4,1819,-81.7155822058435
8,8,1926,-16.857511952602
11,26,1852,51.2538966018587
1,3,1898,206.774723518855
1,6,1883,-91.2097986560828
6,15,1980,129.803168136696
9,15,2009,309.474335449862
3,9,1953,-109.985544049743
9,26,1926,49.7776477007441
4,12,1922,158.5570386677
9,16,1808,156.229889940377
5,4,1998,56.4917103030619
8,2,1951,65.8344935583582
12,13,1847,-118.00904530753
3,21,2011,-21.6722361084253
3,20,1935,97.2538544580612
12,23,1906,-236.026371302411
1,3,1849,-92.8810442597157
11,4,1943,-35.8359752224136
7,27,1959,-58.8519010884807
10,17,1853,-71.7396453026891
12,4,1813,49.7183078672138
3,25,1996,-14.6277152746867
7,13,1908,15.4634833175668
7,5,1818,-80.4184078815987
1,25,1964,61.6017373035665
11,14,1802,-183.558169376591
4,7,1950,167.604868015142
5,20,1915,86.2590522187001
12,20,1944,2.4490895681465
12,28,1962,-125.764300721388
7,26,1950,132.855784492154
11,14,1951,54.4939968881353
9,22,1994,42.411915094695
6,20,1852,39.7337496320574
12,4,1901,-28.5760854490442
3,7,2005,115.670498372765
4,2,1932,47.6594224221259
4,3,1877,-112.112756124918
8,2,1896,19.3006839645438
4,28,1821,-45.9061356148461
4,15,1864,49.7354059825603
4,18,1813,86.3691315703076
7,2,1979,-117.088071126725
9,13,1926,65.9964830617799
12,9,2009,-22.2741799339421
10,28,2006,-166.481525769537
2,28,1809,61.1668031997357
10,18,1814,-15.9062861757553
9,14,1814,195.35949896637
9,9,1826,39.3341567580191
5,24,1859,282.748127717069
1,22,1900,127.268853330735
8,14,1831,18.8392391642065
4,6,2000,33.8821506439175
8,23,2001,-45.7157505062553
9,23,1850,-97.2115641315301
3,1,1810,-82.9946866267299
12,11,1870,-193.396781423469
11,18,1856,-99.5604924912461
8,5,1828,18.9311214663024
8,9,1992,-107.366967524104
12,23,1895,-32.3716518318356
7,28,2020,-47.540360437869
1,7,1985,-61.6525231503775
1,25,1995,-86.365627321091
1,2,1810,-232.303415147657
10,5,1887,-89.2217555742632
9,18,2015,96.3073537486033
5,12,1905,53.3293779567375
3,15,1860,-25.2003552100509
8,25,1851,94.8215420150329
6,10,1824,-187.255553884839
8,10,1882,52.0129340792168
7,28,2017,7.74289166115142
10,26,1930,37.9395874618939
8,28,1836,-209.631962402046
11,6,2011,-30.1576535863983
5,4,2014,-121.390453802306
7,17,1896,-53.8091160876039
2,8,1885,107.455435794863
6,13,1924,195.97703322042
1,11,1907,-133.475724662357
5,11,1982,153.837600575956
4,9,2002,-57.664660383211
8,10,1812,23.5671987727067
11,11,1838,-94.1533562568546
2,6,2009,42.0953682863237
5,10,1954,-116.694696538053
4,22,1813,144.785036331408
8,5,2002,-42.8432284462243
7,16,1934,144.596719772487
3,3,1851,84.4925906898493
11,15,1914,-8.00126718590577
5,3,1975,-152.172713246586
5,6,1981,-77.1654620286648
7,1,1851,-116.192399998575
6,4,1819,115.534877890591
7,2,1958,-104.681926042656
6,28,1985,137.366467328332
11,1,1921,23.1167882523444
6,11,1816,-12.3444941937349
10,4,1869,130.508152535677
9,25,1939,51.1006022130362
5,10,1996,18.8819076840597
3,19,2014,24.2459823552797
4,8,1877,103.68112279583
8,13,1822,-120.776101574556
6,25,1841,99.0892606562608
9,3,1924,-33.358504660349
10,9,1921,-151.167380964316
9,6,1823,116.541085985283
6,10,2006,114.363185470773
1,14,1854,79.4040323784259
6,6,1984,-35.0051103999585
12,14,1827,-5.14471210080821
1,3,1839,164.618527557933
12,22,1844,32.7330912286003
3,16,1972,-87.4000565819227
5,14,1880,-236.703001724635
10,20,1992,43.9757377917838
4,12,2012,-115.191996827591
5,27,1906,-79.5380844360337
6,21,1819,-35.154574312022
5,1,1818,-31.7694914079087
5,18,1909,145.980945576885
9,15,1971,-138.239754272924
12,27,1930,-2.24021270920731
11,28,1859,16.8729530839684
6,17,1875,105.731110383684
1,9,1988,121.925925163992
9,15,1885,-118.987663034086
12,5,1878,8.24564749213056
5,20,1913,-62.0321991798772
12,14,1922,-96.188249069513
5,6,1910,16.077981264851
7,14,1866,-4.39397253794352
10,25,1932,46.555714842514
8,4,1908,97.6459656486109
3,25,1878,-112.06858351525
9,13,1816,-14.2353349725248
10,3,1939,-94.6814642980239
8,28,1930,80.1161653438209
8,16,1800,131.179149240875
1,8,1853,-213.832172240631
8,2,1967,-25.9816321487116
3,19,1803,81.5263144934897
7,26,1847,-49.2621802409794
10,15,1984,163.131336707514
6,1,1885,88.7051580250113
4,7,1927,-18.7704382290972
5,4,2003,123.279107537736
10,19,2010,-39.8907257467002
7,14,1992,-38.9160757039044
2,12,2009,-54.5793865350368
8,6,2006,-83.9907115739865
9,21,1899,-6.83999415856075
8,14,1845,11.9060164522713
1,11,1890,89.2163677777607
8,18,1921,81.4288503120539
10,6,1901,11.4903163963055
11,13,1831,11.7083708309618
12,23,1938,-21.6539737013997
6,3,1876,107.141367149895
8,20,2005,-77.3896364085987
3,4,1958,-23.3518669607353
8,26,1814,5.05192104158995
11,9,1871,-1.66605016477928
4,20,1944,-35.671641806509
2,5,1880,73.4246257589715
5,7,1824,39.6916453419101
8,26,1959,73.2653168414861
7,28,1903,22.2738629444602
11,6,2009,-159.531045526627
8,12,1855,67.5344014706272
4,7,1889,19.9233888294599
2,27,1940,50.5441412410559
6,16,1872,110.551332416526
9,19,1886,65.29035855074
1,17,1909,-133.64095488631
8,21,1809,58.872611855669
3,13,1953,-29.1901550021801
11,6,1944,-17.0556985970576
2,15,1913,-219.502481261998
4,6,1984,-48.6316810858239
9,26,1913,-128.645440000069
3,24,1902,-25.810380814968
8,7,1890,-4.95347739015813
10,15,1923,-258.240517282886
12,8,1908,24.2353771355065
1,20,2017,4.49039717675058
11,15,1948,-68.3086211737519
9,4,1882,-27.9523302150711
11,28,1893,-136.40859249436
4,9,1997,20.2654444187448
6,28,1968,-36.8033506437825
10,8,1957,127.493131144532
6,9,1940,-28.5368029531017
10,1,1966,97.8779505311014
5,9,1852,107.290463509465
9,18,1938,8.53210843301844
11,27,1910,-31.5501819282204
6,20,1848,90.4931745179949
8,10,1911,-127.18335978734
10,26,2018,34.9316216312224
3,22,1854,-32.1214403019457
12,11,1804,119.553584008844
3,11,1927,18.5130994015873
1,11,1943,57.3534466647845
1,23,1901,-28.5085273432578
9,17,1917,-15.8430838093532
1,19,1978,-175.069411265332
5,5,1837,-23.5979166274957
12,8,1885,29.6341115084811
3,19,1995,-32.3947705486251
3,15,1925,-58.4014325036415
1,26,1863,52.6986591293746
12,26,1818,159.378543860513
2,3,1868,-88.9736208334014
10,11,1804,-21.5989255389948
1,14,1995,-122.002242309219
1,12,1919,-82.6633259840668
7,21,1829,-213.146387855879
9,14,1830,99.4078893975359
3,1,1953,62.4885962168897
5,17,1815,8.71606011490402
2,12,1878,20.2564604730268
11,18,1960,180.827741225137
6,1,1903,-109.345749800793
7,2,2004,-71.0209961337447
7,28,1940,-30.2325003314588
4,18,1882,-77.3310812068229
9,6,2000,23.4870889015232
2,2,1937,-216.071437534468
2,2,1886,49.9509619953241
6,18,2007,50.1007443698264
7,11,1993,228.115777657357
2,1,1925,144.692323366447
7,5,1889,37.764221589589
8,14,1876,134.282127798633
3,1,1863,65.110580439228
3,25,1822,97.6556105144705
1,15,1933,11.4257149605252
9,17,1873,127.677605573095
11,16,1970,-17.3396488490142
12,8,1909,-68.2165849930818
1,20,2011,106.295268851598
4,18,1816,159.327345686628
12,20,1832,133.284767609915
11,21,1864,85.4732975217417
12,7,1829,146.353618885474
11,14,1982,308.137211702933
6,18,1806,20.5730207158201
1,21,1940,90.7004088499273
5,6,1845,63.9245134848475
6,7,1882,-69.2030497126388
12,22,1953,79.7301403653856
2,14,1959,-7.83947649688124
5,6,1827,-13.5953492409815
8,20,1860,-191.967207023189
7,28,1991,82.409146168852
9,11,2019,213.228015853656
12,6,1996,113.21831124296
10,18,2002,28.5215758831163
7,5,1944,99.1688322208801
5,12,2013,-148.700800365289
