Rank,Year,Name,Frequency
5,1990,Joshua,1594
6,1990,Nicholas,1579
7,1990,David,1559
8,1990,Joseph,1552
9,1990,Ryan,1549
10,1990,Andrew,1526
11,1990,James,1370
12,1990,Anthony,1335
13,1990,John,1309
14,1990,Kyle,1289
15,1990,Robert,1261
16,1990,Kevin,1177
17,1990,Jacob,1118
18,1990,Justin,1089
19,1990,Zachary,1025
20,1990,Eric,1012
21,1990,Brandon,992
22,1990,William,979
23,1990,Jonathon,970
24,1990,Brian,947
25,1990,Thomas,932
1,1991,Michael,3212
2,1991,Matthew,2158
3,1991,Christopher,1927
4,1991,Daniel,1731
5,1991,Joshua,1608
6,1991,Joseph,1550
7,1991,Nicholas,1502
8,1991,Andrew,1475
9,1991,Ryan,1465
10,1991,David,1422
11,1991,James,1334
12,1991,John,1295
13,1991,Jacob,1281
14,1991,Anthony,1265
15,1991,Robert,1241
16,1991,Kyle,1226
17,1991,Kevin,1164
18,1991,Brandon,1129
19,1991,Zachary,1059
20,1991,Alexander,1027
21,1991,Tyler,1010
22,1991,Eric,1004
23,1991,William,985
24,1991,Jonathon,970
25,1991,Justin,956
1,1992,Michael,2889
2,1992,Matthew,1916
3,1992,Daniel,1627
4,1992,Christopher,1599
5,1992,Nicholas,1538
6,1992,Joseph,1426
7,1992,Andrew,1413
8,1992,Ryan,1380
9,1992,Joshua,1363
10,1992,Brandon,1312
11,1992,David,1283
12,1992,Jacob,1281
13,1992,John,1240
14,1992,James,1230
15,1992,Anthony,1222
16,1992,Tyler,1182
17,1992,Kevin,1158
18,1992,Zachary,1133
19,1992,Alexander,1112
20,1992,Kyle,1102
21,1992,Robert,1095
22,1992,William,925
23,1992,Eric,906
24,1992,Jonathon,826
25,1992,Thomas,798
1,1993,Michael,2739
2,1993,Matthew,1900
3,1993,Daniel,1598
4,1993,Nicholas,1514
5,1993,Christopher,1500
6,1993,Joseph,1416
7,1993,Jacob,1383
8,1993,Joshua,1314
9,1993,Ryan,1297
10,1993,Andrew,1268
11,1993,Brandon,1255
12,1993,Tyler,1250
13,1993,Zachary,1241
14,1993,David,1226
15,1993,James,1188
16,1993,John,1186
17,1993,Anthony,1140
18,1993,Kyle,1134
19,1993,Kevin,1112
20,1993,Alexander,1101
21,1993,Robert,1021
22,1993,William,928
23,1993,Eric,838
24,1993,Jonathon,814
25,1993,Thomas,800
1,1994,Michael,2396
2,1994,Matthew,1711
3,1994,Nicholas,1592
4,1994,Daniel,1570
5,1994,Jacob,1446
6,1994,Christopher,1374
7,1994,Joseph,1310
8,1994,Ryan,1289
9,1994,Tyler,1285
10,1994,Brandon,1283
11,1994,Joshua,1261
12,1994,John,1234
13,1994,Andrew,1201
14,1994,Zachary,1148
15,1994,David,1134
16,1994,Anthony,1123
17,1994,Alexander,1066
18,1994,James,1061
19,1994,Kyle,1008
20,1994,Kevin,990
21,1994,Austin,954
22,1994,Robert,938
23,1994,Thomas,819
24,1994,Justin,810
25,1994,Jonathon,800
1,1995,Michael,2205
2,1995,Matthew,1696
3,1995,Nicholas,1562
4,1995,Jacob,1537
5,1995,Daniel,1458
6,1995,Joseph,1318
7,1995,Christopher,1314
8,1995,Joshua,1244
9,1995,Andrew,1209
10,1995,Tyler,1198
11,1995,Ryan,1167
12,1995,John,1151
13,1995,Brandon,1113
14,1995,Zachary,1099
15,1995,Alexander,1072
16,1995,Anthony,1064
17,1995,David,1061
18,1995,Austin,1023
19,1995,Kyle,971
20,1995,James,959
21,1995,Kevin,844
22,1995,Justin,830
23,1995,Robert,794
24,1995,Jonathon,778
25,1995,Thomas,766
1,1996,Michael,2112
2,1996,Jacob,1599
3,1996,Matthew,1515
4,1996,Nicholas,1498
5,1996,Daniel,1454
6,1996,Joseph,1240
7,1996,Christopher,1204
8,1996,Joshua,1156
9,1996,Andrew,1131
10,1996,Tyler,1101
11,1996,Brandon,1096
12,1996,David,1095
13,1996,Ryan,1078
14,1996,Austin,1034
15,1996,Anthony,1029
16,1996,Zachary,1013
17,1996,John,1001
18,1996,Alexander,971
19,1996,Kyle,874
20,1996,James,850
21,1996,Jonathan,816
22,1996,Kevin,810
23,1996,William,806
24,1996,Justin,788
25,1996,Robert,758
1,1997,Michael,2006
2,1997,Jacob,1630
3,1997,Nicholas,1539
4,1997,Matthew,1517
5,1997,Daniel,1323
6,1997,Joseph,1232
7,1997,Joshua,1161
8,1997,Tyler,1097
9,1997,Andrew,1073
10,1997,Christopher,1069
11,1997,John,1065
12,1997,Brandon,1064
13,1997,Austin,1041
14,1997,Anthony,1032
15,1997,Ryan,1015
16,1997,David,1005
17,1997,Zachary,976
18,1997,Alexander,900
19,1997,James,851
20,1997,Jonathan,842
21,1997,Kyle,839
22,1997,William,757
23,1997,Justin,734
24,1997,Kevin,699
25,1997,Robert,682
1,1998,Michael,1951
2,1998,Jacob,1701
3,1998,Matthew,1558
4,1998,Nicholas,1408
5,1998,Daniel,1281
6,1998,Joshua,1144
7,1998,Joseph,1126
8,1998,Andrew,1079
9,1998,Brandon,1055
10,1998,Tyler,1014
11,1998,Christopher,1013
12,1998,John,990
13,1998,Ryan,979
14,1998,Anthony,973
15,1998,David,933
16,1998,Zachary,926
17,1998,Alexander,924
18,1998,Austin,884
19,1998,James,841
20,1998,Kyle,826
21,1998,Justin,766
22,1998,William,763
23,1998,Jonathan,745
24,1998,Kevin,662
25,1998,Thomas,653
1,1999,Michael,1778
2,1999,Jacob,1675
3,1999,Matthew,1499
4,1999,Nicholas,1319
5,1999,Daniel,1317
6,1999,Joseph,1189
7,1999,Joshua,1123
8,1999,Andrew,1104
9,1999,Ryan,1080
10,1999,Tyler,978
11,1999,Anthony,971
12,1999,David,954
13,1999,Alexander,935
14,1999,Christopher,926
15,1999,Brandon,907
16,1999,John,904
17,1999,Zachary,889
18,1999,William,791
19,1999,James,789
20,1999,Austin,768
21,1999,Justin,765
22,1999,Jonathan,729
23,1999,Kyle,726
24,1999,Dylan,684
25,1999,Benjamin,657
1,2000,Jacob,1640
2,2000,Michael,1553
3,2000,Matthew,1420
4,2000,Daniel,1269
5,2000,Nicholas,1211
6,2000,Joseph,1149
7,2000,Joshua,1123
8,2000,Anthony,1017
9,2000,Andrew,991
10,2000,Ryan,974
11,2000,Alexander,944
12,2000,Christopher,940
13,2000,John,935
14,2000,Tyler,935
15,2000,David,873
16,2000,Brandon,860
17,2000,Zachary,815
18,2000,Jonathan,768
19,2000,William,762
20,2000,Justin,756
21,2000,Benjamin,740
22,2000,James,731
23,2000,Kevin,694
24,2000,Ethan,692
25,2000,Christian,691
1,2001,Jacob,1466
2,2001,Michael,1461
3,2001,Matthew,1362
4,2001,Daniel,1175
5,2001,Nicholas,1155
6,2001,Joshua,1127
7,2001,Anthony,1033
8,2001,Joseph,1030
9,2001,Andrew,972
10,2001,Alexander,950
11,2001,David,929
12,2001,Christopher,910
13,2001,John,882
14,2001,Ryan,867
15,2001,Tyler,852
16,2001,William,844
17,2001,Zachary,832
18,2001,Brandon,758
19,2001,Jonathan,750
20,2001,Ethan,746
21,2001,James,728
22,2001,Benjamin,687
23,2001,Kevin,675
24,2001,Samuel,675
25,2001,Dylan,665
1,2002,Michael,1439
2,2002,Jacob,1405
3,2002,Matthew,1164
4,2002,Daniel,1151
5,2002,Joshua,1063
6,2002,Nicholas,1035
7,2002,Anthony,999
8,2002,Joseph,991
9,2002,Alexander,979
10,2002,Andrew,971
11,2002,Ethan,929
12,2002,Tyler,860
13,2002,David,848
14,2002,John,846
15,2002,Ryan,839
16,2002,William,822
17,2002,Christopher,764
18,2002,Jonathan,749
19,2002,Brandon,728
20,2002,Benjamin,715
21,2002,Zachery,710
22,2002,James,674
23,2002,Nathan,648
24,2002,Kevin,628
25,2002,Samuel,628
1,2003,Michael,1358
2,2003,Jacob,1274
3,2003,Daniel,1106
4,2003,Joseph,1084
5,2003,Anthony,1078
6,2003,Matthew,1076
7,2003,Joshua,1022
8,2003,Alexander,1009
9,2003,Andrew,995
10,2003,Nicholas,974
11,2003,Ryan,958
12,2003,David,878
13,2003,Tyler,847
14,2003,Ethan,844
15,2003,William,785
16,2003,Christopher,767
17,2003,John,764
18,2003,Nathan,707
19,2003,James,691
20,2003,Zachary,687
21,2003,Benjamin,668
22,2003,Samuel,650
23,2003,Brandon,638
24,2003,Dylan,634
25,2003,Kevin,629
1,2004,Jacob,1276
2,2004,Michael,1273
3,2004,Daniel,1160
4,2004,Anthony,1058
5,2004,Joshua,1036
6,2004,Alexander,1020
7,2004,Matthew,1013
8,2004,Joseph,944
9,2004,Andrew,933
10,2004,Nicholas,916
11,2004,Ryan,902
12,2004,Ethan,871
13,2004,David,864
14,2004,William,832
15,2004,Tyler,815
16,2004,Christopher,773
17,2004,John,734
18,2004,James,705
19,2004,Nathan,698
20,2004,Jonathan,665
21,2004,Benjamin,663
22,2004,Samuel,640
23,2004,Jack,639
24,2004,Dylan,615
25,2004,Zachary,610
1,2005,Jacob,1131
2,2005,Michael,1123
3,2005,Daniel,1076
4,2005,Alexander,1006
5,2005,Matthew,987
6,2005,Joseph,967
7,2005,Joshua,956
8,2005,Anthony,937
9,2005,Andrew,881
10,2005,Ryan,862
11,2005,Ethan,838
12,2005,David,832
13,2005,Nicholas,827
14,2005,John,768
15,2005,William,765
16,2005,Tyler,735
17,2005,Christopher,722
18,2005,Nathan,711
19,2005,Jack,670
20,2005,Benjamin,644
21,2005,Jonathan,625
22,2005,Christian,600
23,2005,James,591
24,2005,Samuel,588
25,2005,Brandon,571
1,2006,Daniel,1042
2,2006,Jacob,1016
3,2006,Michael,1008
4,2006,Alexander,970
5,2006,Joshua,947
6,2006,Anthony,929
7,2006,Matthew,893
8,2006,Joseph,848
9,2006,Ethan,825
10,2006,Andrew,822
11,2006,Ryan,816
12,2006,Christopher,790
13,2006,Nicholas,778
14,2006,David,768
15,2006,William,737
16,2006,Nathan,725
17,2006,John,702
18,2006,Benjamin,658
19,2006,James,651
20,2006,Tyler,640
21,2006,Logan,631
22,2006,Jack,629
23,2006,Noah,613
24,2006,Jonathan,608
25,2006,Angel,571
1,2007,Daniel,1040
2,2007,Jacob,994
3,2007,Anthony,990
4,2007,Michael,969
5,2007,Alexander,967
6,2007,Joshua,829
7,2007,Andrew,777
8,2007,Ethan,769
9,2007,Matthew,766
10,2007,William,763
11,2007,Christopher,762
12,2007,Joseph,754
13,2007,David,743
14,2007,Ryan,725
15,2007,Nathan,679
16,2007,Nicholas,651
17,2007,Tyler,632
18,2007,Logan,628
19,2007,James,626
20,2007,Benjamin,622
21,2007,John,619
22,2007,Jack,616
23,2007,Noah,596
24,2007,Christian,579
25,2007,Jonathan,579
1,2008,Alexander,1017
2,2008,Daniel,967
3,2008,Michael,963
4,2008,Jacob,927
5,2008,Anthony,884
6,2008,Ethan,811
7,2008,Joshua,753
8,2008,William,726
9,2008,Joseph,721
10,2008,Matthew,714
11,2008,Andrew,705
12,2008,David,704
13,2008,Nathan,688
14,2008,Ryan,684
15,2008,Jayden,666
16,2008,Christopher,651
17,2008,Aiden,638
18,2008,James,612
19,2008,Benjamin,610
20,2008,Logan,597
21,2008,Nicholas,592
22,2008,Noah,584
23,2008,Jack,558
24,2008,John,547
25,2008,Jonathan,538
1,2009,Alexander,1062
2,2009,Jacob,906
3,2009,Daniel,881
4,2009,Michael,821
5,2009,Anthony,786
6,2009,Ethan,769
7,2009,William,729
8,2009,Joshua,709
9,2009,Jayden,674
10,2009,Nathan,670
11,2009,Aiden,668
12,2009,David,667
13,2009,Matthew,666
14,2009,Noah,655
15,2009,Christopher,638
16,2009,Benjamin,629
17,2009,Joseph,615
18,2009,Logan,598
19,2009,Ryan,597
20,2009,Andrew,582
21,2009,Tyler,548
22,2009,James,524
23,2009,John,521
24,2009,Jackson,511
25,2009,Angel,510
1,2010,Alexander,922
2,2010,Jacob,912
3,2010,Michael,748
4,2010,Daniel,738
5,2010,Anthony,723
6,2010,Ethan,717
7,2010,Jayden,684
8,2010,William,677
9,2010,Joshua,648
10,2010,Noah,610
11,2010,Logan,608
12,2010,David,603
13,2010,Mason,598
14,2010,Aiden,585
15,2010,Andrew,583
16,2010,Matthew,581
17,2010,Nathan,567
18,2010,Benjamin,548
19,2010,Joseph,544
20,2010,Christopher,531
21,2010,Ryan,531
22,2010,Lucas,516
23,2010,Jonathan,503
24,2010,Jackson,480
25,2010,John,472
1,2011,Alexander,897
2,2011,Michael,800
3,2011,Jacob,783
4,2011,Noah,736
5,2011,Daniel,702
6,2011,Mason,702
7,2011,Ethan,698
8,2011,William,698
9,2011,Anthony,686
10,2011,Benjamin,649
11,2011,Jayden,647
12,2011,Liam,597
13,2011,Aiden,578
14,2011,Matthew,563
15,2011,Logan,553
16,2011,David,538
17,2011,Andrew,501
18,2011,Joshua,498
19,2011,Nathan,486
20,2011,Lucas,478
21,2011,Gabriel,477
22,2011,James,477
23,2011,Jackson,473
24,2011,Joseph,472
25,2011,John,471
1,2012,Jacob,761
2,2012,Noah,749
3,2012,Alexander,742
4,2012,Michael,708
5,2012,Ethan,678
6,2012,Mason,661
7,2012,Liam,660
8,2012,Anthony,658
9,2012,Jayden,653
10,2012,Daniel,650
11,2012,William,645
12,2012,Aiden,593
13,2012,Benjamin,568
14,2012,Nathan,519
15,2012,Logan,499
16,2012,Matthew,495
17,2012,James,484
18,2012,David,483
19,2012,Lucas,475
20,2012,Jackson,473
21,2012,Joshua,467
22,2012,Ryan,466
23,2012,Joseph,465
24,2012,Andrew,463
25,2012,Elijah,463
1,2013,Noah,738
2,2013,Jacob,714
3,2013,Alexander,711
4,2013,Liam,707
5,2013,Michael,672
6,2013,William,648
7,2013,Jayden,618
8,2013,Benjamin,614
9,2013,Mason,605
10,2013,Daniel,604
11,2013,Ethan,580
12,2013,Anthony,570
13,2013,Aiden,547
14,2013,Matthew,533
15,2013,Logan,502
16,2013,Lucas,489
17,2013,James,482
18,2013,Joseph,482
19,2013,Jackson,476
20,2013,Elijah,471
21,2013,Nathan,470
22,2013,Andrew,468
23,2013,Henry,463
24,2013,David,461
25,2013,Jack,440
